model,year,n,accuracy
baseline,2015,252,0.4722222222222222
baseline,2016,252,0.5238095238095238
baseline,2017,251,0.5697211155378487
baseline,2018,251,0.5258964143426295
baseline,2019,252,0.5952380952380952
baseline,2020,253,0.5691699604743083
baseline,2021,252,0.5714285714285714
baseline,2022,251,0.4262948207171315
baseline,2023,250,0.548
baseline,2024,252,0.5674603174603174
baseline,2025,250,0.58
baseline,2026,170,0.5294117647058824
gbc,2015,252,0.49603174603174605
gbc,2016,252,0.5357142857142857
gbc,2017,251,0.4860557768924303
gbc,2018,251,0.4940239043824701
gbc,2019,252,0.5238095238095238
gbc,2020,253,0.5770750988142292
gbc,2021,252,0.6111111111111112
gbc,2022,251,0.4820717131474104
gbc,2023,250,0.5
gbc,2024,252,0.5476190476190477
gbc,2025,250,0.584
gbc,2026,170,0.5352941176470588
logreg,2015,252,0.48412698412698413
logreg,2016,252,0.5198412698412699
logreg,2017,251,0.5657370517928287
logreg,2018,251,0.5219123505976095
logreg,2019,252,0.5793650793650794
logreg,2020,253,0.5731225296442688
logreg,2021,252,0.5714285714285714
logreg,2022,251,0.46215139442231074
logreg,2023,250,0.524
logreg,2024,252,0.5753968253968254
logreg,2025,250,0.564
logreg,2026,170,0.5176470588235295
